name	intl_name	brand_name	brand_intl_name	year_month	rank	score	f1	f2	f3	f4	f5	f6	flavour_tags	checkin_count	pictures	similar_brands	id	similar_brand_taste
大七	Daishichi	福島県	Fukushima	202001	5	4.0088372230529785	0.2314312607049942	0.5710961818695068	0.4391942024230957	0.4879944920539856	0.2535274028778076	0.3535284996032715	|熱燗|爽快|常温|コク|冷酒|旨味|酸味|ふくよか|しっかり|燗酒|豊か|辛口|濃厚|ミルク|スッキリ|まろやか|余韻|キレ|甘味|ガス	466	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1o2tIfXKE2nFnj|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1WwOwORNNXW7Cq|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/WIoAo47FG9JYK	十旭日|辨天娘|七本鎗|いづみ橋|神亀	174	大七|羽前白梅|綾菊|十六代九郎右衛門|一本義|戦勝政宗|群馬泉|酒屋八兵衛|義侠|宗玄
奈良萬	Naraman	福島県	Fukushima	202001	6	4.00869083404541	0.4429521858692169	0.4227802157402039	0.2586122155189514	0.39798569679260254	0.3527383804321289	0.5247408747673035	|ガス|メロン|フルーティ|酸味|旨味|辛口|甘味|キャラメル|ピリリ|華やか|フレッシュ|スッキリ|安定|バナナ|コク|ヤクルト|ピチピチ|キレ|バランス|香ばしい	508	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1jRLB2CvxpBcTN|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1i7f2eNzwUK13r|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2W2pgRZUGgPCjS	而今|七田|自然郷|栄光冨士|赤武	222	結ゆい|奈良萬|あたごのまつ|篠峯|磯自慢|黒龍|古伊万里|蓬莱|酉与右衛門|あべ
廣戸川	Hirotogawa	福島県	Fukushima	202001	7	4.008309841156007	0.4369981288909912	0.42587360739707947	0.3770115077495575	0.4783909320831299	0.24840520322322845	0.4415467977523804	|旨味|酸味|バランス|甘味|ガス|柔らかい|綺麗|上品|バナナ|甘酸っぱい|メロン|マスカット|華やか|スッキリ|渋み|フルーティ|ラム|余韻|なめらか|穏やか	338	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/8Hc6jxEKGyQ90|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1rKP5LIFO33ZaF|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/vvxOnS1Vgylqp	而今|田酒|まんさくの花|十四代|栄光冨士	1469	廣戸川|富久錦|嘉美心|英君|三千櫻|梅乃宿|春霞|蒼天伝|満寿泉|日輪田
会津娘	Aizumusume	福島県	Fukushima	202001	8	4.007833003997804	0.44168236851692205	0.5113651156425476	0.3288087248802185	0.4454494118690491	0.2753925621509552	0.4012991487979889	|花|酸味|旨味|バナナ|甘味|渋み|メロン|フルーティ|キレ|ヨーグルト|セメダイン|優しい|余韻|芳醇|コーヒー|レーズン|辛口|柔らかい|ふんわり|フレッシュ	355	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/S2fRECbn7OuGd|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2EM7LKcLoVp1yD|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/pXLWRcSP8XQtv	笑四季|まんさくの花|来福|不動|花の香	1688	会津娘|燦然|ちえびじん|玉旭|鳴門鯛|鼎|翠玉|大関|春霞|梅乃宿
会津中将	Aizuchujo	福島県	Fukushima	202001	9	4.007747173309326	0.3678105175495148	0.43139195442199707	0.4310180842876434	0.4904213845729828	0.28584715723991394	0.41305938363075256	|フレッシュ|甘味|フルーティ|スッキリ|旨味|コク|ふんわり|しっかり|酸味|ナッツ|辛口|まろやか|甘酸っぱい|深み|スモーキー|若い|綺麗|キレ|穏やか|メロン	495	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1tepcsXnz7bXkQ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/QovXon5MSihZW|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/E3UXF1wKt1AsK	羽根屋|播州一献|紀土|雁木|楯野川	188	会津中将|梵|千福|花泉|遊穂|奥|春霞|香住鶴|高砂|龍力
自然郷	Shizengo	福島県	Fukushima	202001	10	4.0071730613708505	0.4829038381576538	0.3883870542049408	0.2180525213479996	0.32168176770210266	0.3215141296386719	0.6013002395629883	|ガス|メロン|酸味|甘味|バナナ|旨味|ピリリ|ピチピチ|軽快|バランス|プラム|キレ|フルーティ|スイスイ|ブドウ|さわやか|するする|ヨーグルト|渋み|余韻	253	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1S1VCtxh48OxFD|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/24gq6hjSSrHcZ7|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/f1pEhACwC9eMT	楽器正宗|澤屋まつもと|賀茂金秀|奈良萬|風の森	219	仙介|自然郷|十九|赤武|長陽福娘|五橋|新政|総乃寒菊|山川光男|若波
穏	Odayaka	福島県	Fukushima	202001	11	4.007164478302002	0.4453696608543396	0.4713275730609894	0.28781455755233765	0.38705161213874817	0.30827653408050537	0.5018122792243958	|ガス|メロン|酸味|穏やか|キャラメル|ジューシー|ピリリ|旨味|フルーティ|優しい|栗|穀物|プラム|さわやか|フレッシュ|柑橘|心地よい|苦味|ミルク|鮮烈	258	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1vUJc1tRa7kJqm|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2hIX35hmegtdTu|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1bFyrkMoE0bDwU	賀茂金秀|奈良萬|自然郷|残草蓬莱|仙介	1517	屋守|今錦|穏|而今|蓬莱|川中島|峰乃白梅|あたごのまつ|白老|奈良萬
奥の松	Okunomatsu	福島県	Fukushima	202001	12	4.007040500640868	0.3443728983402252	0.3482323586940765	0.3348022401332855	0.3726605176925659	0.4776778817176819	0.5300914645195007	|スッキリ|キレ|フルーティ|甘味|さわやか|しっかり|まろやか|ガス|ちびちび|常温|するする|辛口|旨味|薄い|ふんわり|複雑|砂糖|濃厚|こってり|甘酸っぱい	251	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2DjLNOEfh7D8TN|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2sniTyanU2PTjm|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2NxM8bnCN6xKEC	上喜元|蓬莱|紀土|楯野川|出羽桜	213	百楽門|白龍|洌|相模灘|早瀬浦|瀧自慢|北島|やまとしずく|雑賀|久保田
國権	Kokken	福島県	Fukushima	202001	13	4.006969451904297	0.2903483808040619	0.5497403740882874	0.5708262920379639	0.4141477048397064	0.18415242433547974	0.2867233157157898	|レーズン|穀物|キャラメル|メロン|ちびちび|ラム|硬い|旨味|酸味|甘味|常温|どっしり|スッキリ|コク|優しい|しっかり|味噌|こってり|フルーティ|果物	210	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/22n1AYLelTJpTd|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/uBxI80FdpQmvz|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2PPfa2rHEbixon	一本義|播州一献|天明|酒屋八兵衛|金寳自然酒	1679	國権|土田|剣菱|津島屋|大倉|都美人|酒屋八兵衛|西條鶴|菊姫|勢正宗
風が吹く	Kazegafuku	福島県	Fukushima	202001	14	4.006813049316406	0.4242829382419586	0.5546786785125732	0.40924715995788574	0.3844763934612274	0.2691732943058014	0.3529248833656311	|旨味|チョコレート|華やか|ブドウ|フルーティ|穀物|若い|さわやか|穏やか|酸味|甘味|しっかり|荒々しい|香ばしい|余韻|苦味|キャラメル|ラム|ライチ|辛口	181	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/29mCYKJLf0jPHc|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/L4vvPzazxedp7|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2Q5BuKcGrDG17	天明|酒屋八兵衛|雨後の月|栄光冨士|陸奥八仙	1175	風が吹く|東鶴|小左衛門|旦|伝心|ちえびじん|鏡山|燦然|黒松仙醸|二兎
